GeneID,Entrez,Phylostrata
ADAMTS12,81792,5
ADAMTS13,11093,8
ADAMTS14,140766,6
ADAMTS15,170689,5
ADAMTS16,170690,5
ADAMTS17,170691,4
ADAMTS18,170692,5
ADAMTS19,171019,4
ADAMTS2,9509,6
ADAMTS20,80070,5
ADAMTS3,9508,6
ADAMTS4,9507,5
ADAMTS5,11096,5
ADAMTS6,11174,5
ADAMTS9,56999,5
ADAMTSL1,92949,6
ADAMTSL2,9719,8
ADAMTSL3,57188,6
ADAMTSL4,54507,5
ADAMTSL4-AS1,000,15
ADAMTSL5,339366,7
ADAP1,11033,4
ADAR,103,5
ADARB2,105,2
ADAT1,23536,2
ADAT2,134637,1
ADAT3,113179,2
ADC,113451,9
ADCK1,57143,1
ADCK2,90956,1
ADCK3,56997,1
ADCK4,79934,1
ADCK5,203054,1
ADCY1,107,4
ADCY10,55811,2
ADCY2,108,4
ADCY3,109,4
ADCY4,196883,4
ADCY5,111,4
ADCY6,112,4
ADCY7,113,4
ADCY8,114,4
ADCY9,115,4
ADCYAP1,116,8
ADCYAP1R1,117,8
ADD1,118,1
ADD2,119,1
ADD3,120,1
ADGB,79747,4
ADH1A,124,1
ADH1B,125,1
ADH4,127,13
ADH5,128,1
ADH6,130,1
ADH7,131,11
ADHFE1,137872,1
ADI1,55256,1
ADIG,149685,13
ADIPOQ,9370,8
ADIPOR1,51094,1
ADIPOR2,79602,1
ADIRF,10974,11
ADK,132,2
ADM,133,8
ADM2,79924,15
ADNP,23394,8
ADNP2,22850,5
ADO,84890,2
ADORA1,134,6
ADORA2A,135,4
ADORA2B,136,7
ADORA3,140,11
ADPGK,83440,2
ADPRH,141,5
ADPRHL1,113622,8
ADPRHL2,54936,1
ADPRM,56985,1
ADRA1B,147,4
ADRA1D,146,4
ADRA2A,150,6
ADRA2B,151,6
ADRA2C,152,6
ADRB1,153,8
ADRB2,154,7
ADRB3,155,9
ADRBK1,156,2
ADRBK2,157,2
ADSL,158,1
ADSS,159,1
ADSSL1,122622,1
ADTRP,84830,3
AEBP1,165,8
AEN,64782,2
AES,166,8
AFAP1,60312,7
AFAP1L1,134265,8
AFF1,4299,4
AFF2,2334,4
AFF3,3899,4
AFF4,27125,4
AFG3L2,10939,1
AFM,173,10
AFMID,125061,1
AFP,174,9
AFTPH,54812,6
AGA,175,2
AGAP1,116987,4
AGAP10,642517,4
AGAP2,116986,4
AGAP3,116988,4
AGAP5,119016,4
AGAP6,119016,4
AGAP8,119016,4
AGAP9,642517,4
AGBL1,123624,2
AGBL2,79841,2
AGBL3,340351,2
AGBL4,84871,2
AGBL5,60509,2
AGER,177,10
AGFG2,3268,2
AGGF1,55109,3
AGK,55750,4
AGMAT,79814,1
AGMO,392636,1
AGO1,26523,2
AGO2,27161,2
AGO3,192669,2
AGO4,192670,2
AGPAT1,10554,1
AGPAT2,10555,1
AGPAT3,56894,2
AGPAT4,56895,2
AGPAT5,55326,2
AGPAT6,137964,2
AGPAT9,84803,2
AGPS,8540,1
AGR2,10551,8
AGR3,155465,8
AGRN,375790,2
AGRP,181,8
AGT,183,8
AGTPBP1,23287,2
AGTR1,185,8
AGTR2,186,8
AGTRAP,57085,15
AGXT,189,1
AGXT2,64902,1
AHCY,191,1
AHCYL1,10768,4
AHCYL2,23382,4
AHDC1,27245,8
AHI1,54806,2
AHNAK,79026,2
AHNAK2,113146,2
AHR,196,4
AHRR,57491,8
AHSA1,10598,2
AHSG,197,8
AHSP,51327,10
AICDA,57379,8
AIDA,64853,2
AIF1,199,5
AIFM1,9131,2
AIFM2,84883,1
AIFM3,150209,1
AIG1,51390,2
AIM1,202,8
AIM1L,55057,8
AIM2,9447,12
AIMP1,9255,1
AIMP2,7965,4
AIP,9049,2
AIPL1,23746,2
AIRE,326,8
AJAP1,55966,8
AJUBA,84962,8
AK1,203,1
AK2,204,1
AK3,50808,2
AK5,26289,2
AK7,122481,2
AK8,158067,1
AK9,221264,2
AKAP10,11216,4
AKAP11,11215,8
AKAP12,9590,8
AKAP13,11214,4
AKAP14,158798,4
AKAP17A,8227,4
AKAP2,11217,7
AKAP3,10566,11
AKAP4,8852,10
AKAP6,9472,8
AKAP7,9465,2
AKAP8,10270,10
AKAP9,10142,6
AKIP1,56672,5
AKIRIN1,79647,8
AKIRIN2,55122,2
AKNA,80709,5
AKNAD1,254268,10
AKR1A1,10327,1
AKR1B1,231,1
AKR1B10,57016,1
AKR1C2,1646,10
AKR1C3,8644,10
AKR1C4,1109,10
AKR1D1,6718,1
AKR1E2,83592,11
AKR7A2,8574,2
AKR7A3,22977,2
AKR7L,000,2
AKT1,207,2
AKT1S1,84335,7
AKT2,208,2
AKT3,10000,2
AL033381.1,000,15
AL135998.1,000,15
AL136115.1,000,15
AL136218.1,000,15
AL138815.1,000,15
AL353354.1,000,15
AL353608.1,000,15
AL354822.1,000,15
AL354898.1,000,1
AL354993.1,000,14
AL355390.1,000,15
AL356585.1,000,1
AL359195.1,000,14
AL359878.1,000,15
AL360004.1,000,15
AL365202.1,000,15
AL391152.1,000,15
AL391421.1,000,14
AL445665.1,000,15
AL591025.1,000,15
AL591684.1,100996760,16
AL592170.1,000,16
AL603926.1,000,2
AL603965.1,100996760,16
AL627171.1,000,15
AL953854.2,000,16
ALAS2,212,1
ALCAM,214,7
ALDH16A1,126133,4
ALDH18A1,5832,1
ALDH1A1,216,1
ALDH1A2,8854,1
ALDH1A3,220,1
ALDH1B1,219,1
ALDH1L1,10840,1
ALDH1L2,160428,1
ALDH2,217,1
ALDH3A2,224,1
ALDH3B2,222,1
ALDH4A1,8659,1
ALDH5A1,7915,1
ALDH6A1,4329,1
ALDH7A1,501,1
ALDH8A1,64577,1
ALDH9A1,223,1
ALDOA,226,2
ALDOB,229,2
ALDOC,230,2
ALG1,56052,2
ALG10,84920,2
ALG10B,84920,2
ALG12,79087,2
ALG13,79868,2
ALG14,199857,2
ALG1L,200810,15
ALG2,85365,2
ALG3,10195,2
ALG5,29880,1
ALG8,79053,2
ALK,238,6
ALKBH1,8846,2
ALKBH2,121642,2
ALKBH3,221120,1
ALKBH4,54784,2
ALKBH6,84964,2
ALKBH7,84266,2
ALKBH8,91801,1
ALMS1,7840,4
ALOX12,239,8
ALOX12B,242,2
ALOX15,246,8
ALOX15B,247,2
ALOX5,240,2
ALOX5AP,241,8
ALOXE3,59344,2
ALPI,248,1
ALPK1,80216,5
ALPK2,115701,8
ALPK3,57538,8
ALPL,249,1
ALPP,250,1
ALPPL2,251,1
ALS2,57679,4
ALS2CL,259173,9
ALS2CR11,151254,10
ALS2CR12,130540,4
ALX1,8092,8
ALX3,257,8
ALX4,60529,5
ALYREF,10189,2
AMACR,23600,1
AMBN,258,10
AMBP,259,8
AMD1,262,2
AMDHD1,144193,1
AMDHD2,51005,1
AMELX,265,10
AMELY,266,15
AMER1,139285,8
AMER2,219287,2
AMER3,205147,10
AMFR,267,2
AMH,268,8
AMHR2,269,8
AMICA1,120425,9
AMIGO1,57463,8
AMIGO3,386724,8
AMMECR1,9949,1
AMMECR1L,83607,1
AMN,81693,4
AMOT,154796,6
AMOTL1,154810,6
AMOTL2,51421,8
AMPD1,270,2
AMPH,273,2
AMT,275,1
AMTN,401138,11
AMY1B,276,1
AMY1C,276,1
AMY2B,280,1
AMZ1,155185,9
AMZ2,51321,1
ANAPC1,64682,2
ANAPC10,10393,2
ANAPC11,51529,15
ANAPC13,25847,2
ANAPC15,25906,5
ANAPC16,119504,8
ANAPC2,29882,2
ANAPC4,29945,2
ANAPC5,51433,2
ANAPC7,51434,2
ANG,283,8
ANGEL1,23357,2
ANGEL2,90806,2
ANGPT1,284,8
ANGPT2,285,7
ANGPT4,51378,6
ANGPTL1,9068,6
ANGPTL2,23452,6
ANGPTL3,27329,8
ANGPTL4,51129,8
ANGPTL5,253935,8
ANGPTL6,83854,11
ANGPTL7,10218,5
ANHX,647589,10
ANK2,287,1
ANK3,288,1
ANKAR,150709,4
ANKDD1A,348094,6
ANKEF1,63926,5
ANKFN1,162282,4
ANKFY1,51479,5
ANKH,56172,8
ANKIB1,54467,5
ANKK1,255239,2
ANKLE1,126549,4
ANKLE2,23141,3
ANKMY1,51281,4
ANKMY2,57037,4
ANKRA2,57763,6
ANKRD1,27063,8
ANKRD10,55608,5
ANKRD11,29123,5
ANKRD12,23253,5
ANKRD13A,88455,2
ANKRD13B,124930,2
ANKRD13C,81573,2
ANKRD13D,338692,2
ANKRD16,54522,4
ANKRD17,26057,2
ANKRD18A,253650,14
ANKRD18B,441459,14
ANKRD2,26287,8
ANKRD20A1,84210,11
ANKRD20A2,441425,11
ANKRD20A3,441425,11
ANKRD20A4,441425,11
ANKRD22,118932,8
ANKRD23,200539,11
ANKRD24,170961,7
ANKRD26,22852,5
ANKRD27,84079,6
ANKRD28,23243,1
ANKRD29,147463,2
ANKRD30A,91074,14
ANKRD30BL,554226,14
ANKRD31,256006,9
ANKRD32,84250,4
ANKRD33,341405,12
ANKRD33B,651746,5
ANKRD34A,284615,8
ANKRD34B,340120,4
ANKRD34C,390616,8
ANKRD35,148741,2
ANKRD36,375248,5
ANKRD36C,000,5
ANKRD37,353322,8
ANKRD39,51239,2
ANKRD40,91369,4
ANKRD42,338699,4
ANKRD44,91526,1
ANKRD46,157567,4
ANKRD49,54851,3
ANKRD52,283373,1
ANKRD53,79998,12
ANKRD54,129138,2
ANKRD55,79722,5
ANKRD6,22881,6
ANKRD60,140731,4
ANKRD61,100310846,8
ANKRD62,342850,6
ANKRD63,100131244,13
ANKRD7,56311,6
ANKRD9,122416,8
ANKS1A,23294,5
ANKS1B,56899,5
ANKS3,124401,6
ANKS4B,257629,8
ANKS6,203286,5
ANKUB1,389161,4
ANKZF1,55139,2
ANLN,54443,4
ANO1,55107,2
ANO10,55129,2
ANO2,57101,2
ANO3,63982,2
ANO4,121601,2
ANO5,203859,2
ANO6,196527,2
ANO7,50636,2
ANO8,57719,2
ANO9,338440,8
ANP32A,8125,2
ANP32B,10541,2
ANP32E,81611,2
ANPEP,290,4
ANTXR1,84168,7
ANXA1,301,6
ANXA10,11199,9
ANXA11,311,2
ANXA13,312,2
ANXA2,302,8
ANXA2R,389289,13
ANXA3,306,8
ANXA4,307,8
ANXA5,308,8
ANXA6,309,6
ANXA7,310,2
ANXA8,653145,9
ANXA8L1,653145,9
ANXA8L2,244,9
ANXA9,8416,11
AOAH,313,2
AOC1,26,1
AOC2,314,1
AOC3,8639,1
AOX1,316,1
AP000275.65,000,2
AP000295.9,000,8
AP000322.53,3753,16
AP000350.4,000,15
AP000679.2,000,15
AP000867.1,000,15
AP001024.1,000,15
AP003774.4,000,15
AP005482.1,000,15
AP1AR,55435,5
AP1B1,162,2
AP1G1,164,2
AP1G2,8906,2
AP1M1,8907,2
AP1S1,1174,2
AP1S2,8905,2
AP1S3,130340,2
AP2A1,160,2
AP2A2,161,2
AP2B1,163,2
AP2M1,1173,2
AP2S1,1175,2
AP3B1,8546,2
AP3B2,8120,2
AP3D1,8943,2
AP3M2,10947,2
AP3S1,1176,2
AP3S2,10239,2
AP4B1,10717,2
AP4E1,23431,2
AP4M1,9179,2
AP4S1,11154,2
AP5M1,55745,2
AP5S1,55317,4
APAF1,317,4
APBA1,320,4
APBA3,9546,9
APBB1IP,54518,8
APBB3,10307,8
APC,324,4
APC2,10297,4
APCDD1,147495,5
APCDD1L,164284,5
APCS,325,8
APEH,327,2
APEX2,27301,1
APH1A,51107,2
APH1B,83464,2
API5,8539,2
APIP,51074,1
APLF,200558,4
APLN,8862,15
APLNR,187,8
APLP1,333,5
APLP2,334,4
APMAP,57136,2
APOA1,335,9
APOA2,336,11
APOA4,337,8
APOA5,116519,9
APOB,338,6
APOBEC1,339,11
APOBEC2,10930,8
APOBEC3A,200315,12
APOBEC3B,9582,15
APOBEC3D,140564,12
APOBEC3F,200316,12
APOBEC3H,164668,12
APOBEC4,403314,9
APOBR,55911,10
APOC1,341,11
APOC2,344,8
APOC3,345,11
APOD,347,1
APOE,348,8
APOF,319,12
APOH,350,8
APOL2,23780,13
APOL3,80833,5
APOL4,80832,5
APOL5,80831,12
APOL6,80830,12
APOLD1,81575,9
APOM,55937,8
APOO,79135,8
APP,351,4
APPBP2,10513,5
APPL1,26060,6
APPL2,55198,6
APRT,353,1
APTX,54840,2
AQP1,358,2
AQP10,89872,1
AQP11,282679,8
AQP12A,375318,4
AQP12B,653437,4
AQP2,359,10
AQP3,360,1
AQP4,361,1
AQP5,362,1
AQP6,363,12
AQP7,364,1
AQP8,343,2
AQP9,366,1
AQPEP,206338,9
AQR,9716,2
AR,367,8
ARAF,369,4
ARAP1,116985,4
ARAP2,116984,4
ARAP3,64411,4
ARC,23237,9
ARCN1,372,2
AREG,374,8
AREGB,374,8
AREL1,9870,4
ARF1,375,2
ARF3,377,2
ARF4,378,2
ARF5,381,2
ARF6,382,3
ARFGAP1,55738,2
ARFGAP2,84364,2
ARFGAP3,26286,2
ARFGEF1,10565,2
ARFGEF2,10564,2
ARFIP1,27236,4
ARFIP2,23647,5
ARFRP1,10139,2
ARG1,383,1
ARG2,384,1
ARGFX,503582,12
ARGLU1,55082,2
ARHGAP10,79658,4
ARHGAP11A,9824,4
ARHGAP12,94134,4
ARHGAP15,55843,5
ARHGAP17,55114,4
ARHGAP19,84986,4
ARHGAP20,57569,4
ARHGAP21,57584,2
ARHGAP22,58504,2
ARHGAP23,57636,2
ARHGAP24,83478,2
ARHGAP25,9938,2
ARHGAP26,23092,4
ARHGAP27,201176,6
ARHGAP28,79822,8
ARHGAP29,9411,4
ARHGAP30,257106,8
ARHGAP31,57514,8
ARHGAP32,9743,5
ARHGAP33,115703,5
ARHGAP36,158763,12
ARHGAP39,80728,2
ARHGAP4,393,4
ARHGAP40,343578,8
ARHGAP42,143872,4
ARHGAP44,9912,4
ARHGAP5,394,2
ARHGAP6,395,4
ARHGAP8,23779,9
ARHGAP9,64333,12
ARHGDIA,396,2
ARHGDIB,397,2
ARHGEF1,9138,8
ARHGEF10,9639,5
ARHGEF10L,55160,5
ARHGEF11,9826,4
ARHGEF12,23365,4
ARHGEF15,22899,8
ARHGEF16,27237,8
ARHGEF17,9828,4
ARHGEF18,23370,4
ARHGEF19,128272,8
ARHGEF2,9181,8
ARHGEF25,115557,5
ARHGEF26,26084,8
ARHGEF28,64283,4
ARHGEF3,50650,3
ARHGEF33,100271715,8
ARHGEF35,445328,9
ARHGEF37,389337,8
ARHGEF39,84904,2
ARHGEF4,50649,13
ARHGEF40,55701,5
ARHGEF5,7984,9
ARHGEF6,9459,4
ARHGEF7,8874,4
ARHGEF9,23229,2
ARID1A,8289,4
ARID1B,57492,4
ARID2,196528,4
ARID3A,1820,4
ARID3C,138715,6
ARID4A,5926,4
ARID4B,51742,4
ARID5B,84159,4
ARIH1,25820,2
ARIH2,10425,2
ARL1,400,2
ARL10,285598,8
ARL11,115761,8
ARL13A,392509,12
ARL13B,200894,2
ARL14,80117,8
ARL14EP,120534,4
ARL16,339231,2
ARL17A,51326,14
ARL17B,51326,14
ARL2,402,2
ARL2BP,23568,2
ARL3,403,2
ARL4A,10124,4
ARL4C,10123,4
ARL4D,379,8
ARL5A,26225,2
ARL5B,221079,2
ARL5C,390790,12
ARL6,84100,2
ARL6IP1,23204,6
ARL6IP5,10550,2
ARL6IP6,151188,8
ARL8A,127829,2
ARL9,132946,8
ARMC1,55156,4
ARMC10,83787,4
ARMC12,221481,10
ARMC2,84071,2
ARMC3,219681,2
ARMC4,55130,2
ARMC5,79798,5
ARMC6,93436,2
ARMC7,79637,2
ARMC8,25852,2
ARMCX1,51309,12
ARMCX2,9823,12
ARMCX4,100131755,12
ARMCX5,64860,12
ARMCX6,54470,12
ARNT,405,4
ARNT2,9915,4
ARNTL,406,5
ARNTL2,56938,5
ARPC1A,10552,2
ARPC1B,10095,2
ARPC2,10109,2
ARPC3,10094,2
ARPC4,10093,2
ARPC5,10092,2
ARPC5L,81873,2
ARPP19,10776,5
ARPP21,10777,3
ARR3,407,8
ARRB1,408,4
ARRB2,409,4
ARRDC1,92714,6
ARRDC2,27106,6
ARRDC3,57561,2
ARRDC4,91947,4
ARRDC5,645432,12
ARSB,411,1
ARSD,414,5
ARSE,415,5
ARSF,416,5
ARSG,22901,7
ARSH,347527,5
ARSI,340075,1
ARSJ,79642,1
ARSK,153642,1
ART1,417,5
ART3,419,11
ART4,420,9
ART5,116969,10
ARTN,9048,8
ARV1,64801,2
ARVCF,421,7
ARX,170302,4
AS3MT,57412,1
ASAH1,427,2
ASAH2,56624,2
ASAH2B,653308,15
ASAH2C,000,2
ASAP1,50807,2
ASAP2,8853,2
ASAP3,55616,2
ASB1,51665,6
ASB10,136371,8
ASB11,140456,8
ASB12,142689,8
ASB13,79754,6
ASB14,142686,8
ASB15,142685,8
ASB16,92591,8
ASB17,127247,10
ASB18,401036,8
ASB4,51666,8
ASB5,140458,7
ASB6,140459,8
ASB7,140460,8
ASB8,140461,6
ASB9,140462,9
ASCC1,51008,2
ASCC2,84164,2
ASCC3,10973,1
ASCL1,429,5
ASCL2,430,6
ASCL3,56676,6
ASCL4,121549,4
ASF1A,25842,2
ASF1B,55723,2
ASGR1,432,8
ASH1L,55870,3
ASH2L,9070,2
ASIC1,41,2
ASIC2,40,2
ASIC3,9311,6
ASIC4,55515,6
ASIP,434,8
ASL,435,1
ASMT,438,1
ASMTL,8623,1
ASNA1,439,1
ASNS,440,1
ASNSD1,54529,2
ASPA,443,5
ASPDH,554235,1
ASPH,444,1
ASPHD1,253982,11
ASPHD2,57168,4
ASPM,259266,2
ASPN,54829,8
ASPRV1,151516,11
ASPSCR1,79058,2
ASRGL1,80150,1
ASTE1,28990,4
ASTL,431705,4
ASTN2,23245,8
ASUN,55726,4
ASXL1,171023,6
ASXL3,80816,6
ASZ1,136991,5
ATAD1,84896,2
ATAD2,29028,2
ATAD2B,54454,2
ATAD3A,55210,2
ATAD3B,83858,2
ATAD5,79915,5
ATAT1,79969,2
ATCAY,85300,8
ATE1,11101,1
ATF1,466,8
ATF2,1386,4
ATF3,467,3
ATF4,468,6
ATF5,22809,12
ATF6,22926,4
ATF6B,1388,8
ATF7,11016,8
ATF7IP,55729,5
ATF7IP2,80063,4
ATG10,83734,2
ATG12,9140,2
ATG13,9776,4
ATG14,22863,4
ATG16L1,55054,2
ATG16L2,89849,8
ATG2A,23130,2
ATG2B,55102,2
ATG3,64422,2
ATG4A,115201,2
ATG4C,84938,2
ATG4D,84971,2
ATG5,9474,2
ATG7,10533,2
ATG9A,79065,2
ATHL1,80162,1
ATIC,471,1
ATL1,51062,4
ATL2,64225,4
ATL3,25923,4
ATM,472,2
ATMIN,23300,2
ATN1,1822,4
ATOH1,474,6
ATOH7,220202,6
ATOX1,475,2
ATP10A,57194,2
ATP10B,23120,2
ATP10D,57205,2
ATP11A,23250,2
ATP11B,23200,2
ATP11C,286410,2
ATP12A,479,2
ATP13A1,57130,2
ATP13A2,23400,2
ATP13A3,79572,2
ATP13A4,84239,2
ATP13A5,344905,2
ATP1A1,476,2
ATP1A2,477,2
ATP1A3,478,2
ATP1A4,480,2
ATP1B1,481,4
ATP1B2,482,8
ATP1B3,483,6
ATP1B4,23439,8
ATP2A1,487,1
ATP2A3,489,1
ATP2B1,490,2
ATP2B2,491,2
ATP2B3,492,2
ATP2B4,493,2
ATP2C2,9914,1
ATP4A,495,2
ATP4B,496,9
ATP5A1,498,1
ATP5B,506,1
ATP5C1,509,1
ATP5D,513,1
ATP5E,514,2
ATP5EP2,000,2
ATP5F1,515,4
ATP5G1,516,1
ATP5G2,517,1
ATP5G3,518,1
ATP5H,10476,3
ATP5I,521,6
ATP5J,522,4
ATP5J2,9551,6
ATP5L,10632,4
ATP5O,539,1
ATP5S,27109,4
ATP5SL,55101,6
ATP6AP1,537,4
ATP6AP1L,92270,8
ATP6AP2,10159,2
ATP6V0A1,535,1
ATP6V0A2,23545,1
ATP6V0A4,50617,1
ATP6V0B,533,2
ATP6V0C,527,1
ATP6V0D1,9114,2
ATP6V0D2,245972,2
ATP6V0E1,8992,2
ATP6V0E2,155066,2
ATP6V1A,523,1
ATP6V1B1,525,1
ATP6V1B2,526,1
ATP6V1C1,528,2
ATP6V1C2,245973,9
ATP6V1D,51382,1
ATP6V1E1,529,1
ATP6V1E2,90423,1
ATP6V1F,9296,2
ATP6V1G1,9550,2
ATP6V1G2,534,2
ATP6V1G3,127124,9
ATP6V1H,51606,2
ATP7B,540,1
ATP8A1,10396,2
ATP8A2,51761,2
ATP8B1,5205,2
ATP8B2,57198,2
ATP8B3,148229,2
ATP8B4,79895,2
ATP9A,10079,2
ATP9B,374868,2
ATPAF1,64756,2
ATPAF2,91647,1
ATPIF1,93974,4
ATR,545,2
ATRAID,51374,5
ATRIP,84126,5
ATRN,8455,4
ATRNL1,26033,4
ATRX,546,2
ATXN1L,342371,4
ATXN2,6311,6
ATXN3L,92552,2
ATXN7,6314,6
ATXN7L2,127002,2
ATXN7L3,56970,2
AUH,549,1
AUNIP,79000,11
AURKA,6790,2
AURKAIP1,54998,5
AURKB,9212,2
